,horizonte,rodal_id,Zona,SiteIndex,Especie,Edad,Manejo,Biomasa
347,27,rodal_8,7,23,Pinus,33,Pulpable,0.0
348,28,rodal_8,7,23,Pinus,34,Pulpable,0.0
349,29,rodal_8,7,23,Pinus,35,Pulpable,0.0
350,30,rodal_8,7,23,Pinus,36,Pulpable,0.0
351,31,rodal_8,7,23,Pinus,37,Pulpable,0.0
352,32,rodal_8,7,23,Pinus,38,Pulpable,0.0
353,33,rodal_8,7,23,Pinus,39,Pulpable,0.0
354,34,rodal_8,7,23,Pinus,40,Pulpable,0.0
355,35,rodal_8,7,23,Pinus,41,Pulpable,0.0
356,36,rodal_8,7,23,Pinus,42,Pulpable,0.0
357,37,rodal_8,7,23,Pinus,43,Pulpable,0.0
358,38,rodal_8,7,23,Pinus,44,Pulpable,0.0
359,39,rodal_8,7,23,Pinus,45,Pulpable,0.0
360,0,rodal_9,6,29,Pinus,8,Intensivo2,49.08279445359642
361,1,rodal_9,6,29,Pinus,9,Intensivo2,62.9402855957039
362,2,rodal_9,6,29,Pinus,10,Intensivo2,78.86950645488591
363,3,rodal_9,6,29,Pinus,11,Intensivo2,96.92650301645183
364,4,rodal_9,6,29,Pinus,12,Intensivo2,117.16326672104009
365,5,rodal_9,6,29,Pinus,13,Intensivo2,139.6283612075724
366,6,rodal_9,6,29,Pinus,14,Intensivo2,164.3674088515937
367,7,rodal_9,6,29,Pinus,15,Intensivo2,191.42347672026125
368,8,rodal_9,6,29,Pinus,16,Intensivo2,220.8373883574398
369,9,rodal_9,6,29,Pinus,17,Intensivo2,252.64797959093707
370,10,rodal_9,6,29,Pinus,18,Intensivo2,286.89231124289455
371,11,rodal_9,6,29,Pinus,19,Intensivo2,323.6058480833197
372,12,rodal_9,6,29,Pinus,20,Intensivo2,242.78963107496048
373,13,rodal_9,6,29,Pinus,21,Intensivo2,261.1262572439567
374,14,rodal_9,6,29,Pinus,22,Intensivo2,279.08422186266165
375,15,rodal_9,6,29,Pinus,23,Intensivo2,296.688047985756
376,16,rodal_9,6,29,Pinus,24,Intensivo2,313.95968147904995
377,17,rodal_9,6,29,Pinus,25,Intensivo2,330.9188572530075
378,18,rodal_9,6,29,Pinus,26,Intensivo2,347.58340096795865
379,19,rodal_9,6,29,Pinus,27,Intensivo2,363.96947961295285
380,20,rodal_9,6,29,Pinus,28,Intensivo2,0.0
381,21,rodal_9,6,29,Pinus,29,Intensivo2,0.0
382,22,rodal_9,6,29,Pinus,30,Intensivo2,0.0
383,23,rodal_9,6,29,Pinus,31,Intensivo2,0.0
384,24,rodal_9,6,29,Pinus,32,Intensivo2,0.0
385,25,rodal_9,6,29,Pinus,33,Intensivo2,0.0
386,26,rodal_9,6,29,Pinus,34,Intensivo2,0.0
387,27,rodal_9,6,29,Pinus,35,Intensivo2,0.0
388,28,rodal_9,6,29,Pinus,36,Intensivo2,0.0
389,29,rodal_9,6,29,Pinus,37,Intensivo2,0.0
390,30,rodal_9,6,29,Pinus,38,Intensivo2,0.0
391,31,rodal_9,6,29,Pinus,39,Intensivo2,0.0
392,32,rodal_9,6,29,Pinus,40,Intensivo2,0.0
393,33,rodal_9,6,29,Pinus,41,Intensivo2,0.0
394,34,rodal_9,6,29,Pinus,42,Intensivo2,0.0
